Feature,Importance
alpha_dB_A6,0.0036727858433333906
gamma_dB_B32,0.0036683900176185647
delta_dB_A2,0.003650400982668587
gamma_dB_A23,0.0036469445549624528
gamma_dB_A25,0.0036136745924337
delta_dB_B4,0.003607872140021175
gamma_dB_A32,0.003595373900029356
delta_dB_A15,0.0035923431695997683
delta_dB_A4,0.0035818324833781813
beta_dB_A5,0.0035727850276997997
beta_dB_A24,0.0035480664533971856
theta_dB_B19,0.003545550838318195
theta_dB_A15,0.003542146098099118
gamma_dB_A14,0.00353205550868147
delta_dB_A23,0.003523223438402771
gamma_dB_A5,0.003522992773753318
beta_dB_B30,0.0035164507191545345
gamma_dB_B3,0.0035114380900463293
beta_dB_B19,0.0034998212623186943
theta_dB_B27,0.003492762730650664
delta_dB_B13,0.003484432820334653
delta_dB_A3,0.0034747421790755286
delta_dB_B19,0.0034745182657862257
gamma_dB_B8,0.003474147821237085
theta_dB_A21,0.0034680151496736832
gamma_dB_A24,0.0034677033631045307
alpha_dB_A14,0.0034608132252656933
beta_dB_B3,0.0034524034322775403
alpha_dB_B22,0.0034462775142981694
beta_dB_A29,0.003444932810337053
delta_dB_B10,0.003423018995063684
gamma_dB_A31,0.0034192523636985524
theta_dB_B20,0.003416793966242573
delta_dB_B7,0.003416655374976836
theta_dB_A17,0.0033961633683065855
alpha_dB_A18,0.0033908532362119832
gamma_dB_B21,0.0033851051472548253
theta_dB_A16,0.0033823187174195574
beta_dB_B17,0.0033745052736324057
beta_dB_A10,0.0033582068497830793
delta_dB_A25,0.0033442332265314263
beta_dB_B12,0.0033436150982431184
theta_dB_B3,0.0033347098584571
gamma_dB_B16,0.0033345878376670347
beta_dB_A21,0.003326567803189295
gamma_dB_A21,0.003321069388544169
gamma_dB_A22,0.0033163846008578035
theta_dB_A1,0.0033074190089201817
theta_dB_A27,0.0032985913020104284
theta_dB_B30,0.0032742152580422916
theta_dB_B7,0.003267398365566258
beta_dB_A28,0.0032668961376191522
delta_dB_B32,0.0032660128041184615
gamma_dB_A4,0.003247656503860172
delta_dB_B28,0.0032423113323545778
theta_dB_A4,0.003241894902855636
gamma_dB_B2,0.0032359393363220555
theta_dB_A7,0.00323478493719781
delta_dB_A5,0.0032319541931768447
theta_dB_B23,0.003230499452911374
theta_dB_A14,0.0032262353905434175
theta_dB_B31,0.0032225785672223345
delta_dB_B9,0.00321630145672494
theta_dB_B22,0.003211972454428342
gamma_dB_B29,0.003205121578749079
alpha_dB_A17,0.003204820658338659
gamma_dB_B15,0.003198339055876708
gamma_dB_A29,0.0031972099905468294
theta_dB_A6,0.0031874917542923727
beta_dB_B26,0.0031704906019418893
delta_dB_B2,0.0031603304198569893
alpha_dB_A16,0.003158868863035687
gamma_dB_A18,0.003138366782094504
alpha_dB_A8,0.003137842538732517
delta_dB_A9,0.0031353543673187222
alpha_dB_A25,0.0031314479056540378
beta_dB_B27,0.003130726425242413
beta_dB_B8,0.003122468855519312
gamma_dB_B24,0.003116136003730516
beta_dB_B16,0.0031132544893930714
beta_dB_A27,0.0031115654141616904
delta_dB_B18,0.0031072412431081236
alpha_dB_A29,0.003106228446405411
gamma_dB_A7,0.0030852531978256908
beta_dB_B10,0.0030733996803913016
theta_dB_B29,0.003071739922330587
gamma_dB_B11,0.003071570970712718
beta_dB_A23,0.0030698110244254924
gamma_dB_B28,0.003067757376026896
gamma_dB_A30,0.003065169533425929
theta_dB_B25,0.0030600633423851584
alpha_dB_B4,0.003059990887480566
alpha_dB_B27,0.0030543830327142384
delta_dB_A11,0.003034982519822424
beta_dB_B14,0.0030234654365316883
beta_dB_A20,0.0030209032995989486
theta_dB_B2,0.0030169309718539646
delta_dB_B5,0.003015591027688039
beta_dB_B28,0.002994660504775502
beta_dB_B20,0.0029945992407075374
alpha_dB_B25,0.002992794972271772
alpha_dB_A7,0.0029876238514727543
alpha_dB_B3,0.0029865345445374693
theta_dB_A10,0.002978613608290042
delta_dB_A6,0.0029772568200924264
alpha_dB_A31,0.0029572728527985067
beta_dB_A18,0.002945933513213916
alpha_dB_B20,0.0029433619662469807
beta_dB_B18,0.0029423670616692587
delta_dB_B23,0.002933970923253363
theta_dB_B4,0.0029287497344108408
theta_dB_A25,0.0029138879732869207
alpha_dB_B5,0.0029070309940941756
gamma_dB_B27,0.0028980546939960028
beta_dB_A32,0.002896491953271976
gamma_dB_B13,0.002884342367174225
alpha_dB_A20,0.002882934352899098
beta_dB_B13,0.002875030163951777
gamma_dB_A17,0.0028643245158381497
alpha_dB_B21,0.0028640854089480626
delta_dB_B8,0.002864001643494428
delta_dB_B3,0.002860114262466944
gamma_dB_B12,0.0028589088339728225
beta_dB_B24,0.0028576696819376346
theta_dB_B12,0.002845492127087365
theta_dB_A5,0.0028193345989472574
gamma_dB_B10,0.0027958115458558315
alpha_dB_A24,0.002791325609851104
alpha_dB_A26,0.0027874843619111666
theta_dB_A3,0.0027845910570192377
theta_dB_A23,0.002782149392420572
beta_dB_B31,0.0027721474389935997
delta_dB_A21,0.0027689612178914487
alpha_dB_B32,0.0027628997425926515
gamma_dB_B26,0.002752802751435328
beta_dB_A7,0.002750164033199484
beta_dB_A25,0.00273691198880035
gamma_dB_A15,0.0027285328384574277
theta_dB_A2,0.0027251558618775346
alpha_dB_B26,0.0027228795033146813
beta_dB_A19,0.0027220835867400434
theta_dB_B13,0.0027167273572474993
beta_dB_A30,0.0027166419026546616
gamma_dB_B23,0.0027044603995852318
theta_dB_A18,0.0027026055506656705
beta_dB_A17,0.0027004747571141236
delta_dB_A18,0.002698603390568597
delta_dB_A7,0.002693012045579708
theta_dB_A32,0.0026767114421670456
theta_dB_B15,0.0026742438748719316
delta_dB_B25,0.002671088013297012
beta_dB_A1,0.0026466089352526305
beta_dB_B11,0.0026371971114340052
beta_dB_A2,0.002629162936114139
theta_dB_B8,0.0026107651130530315
theta_dB_B24,0.0026075080909097243
alpha_dB_B6,0.002606641558215578
alpha_dB_A13,0.002601032820437775
