Feature,Importance
theta_dB_B11,0.0023318270049390525
alpha_dB_B3,0.0023277792903044713
alpha_dB_A16,0.0023207605621982756
gamma_dB_B31,0.002315008883821172
beta_dB_A15,0.0023147962869281215
gamma_dB_B22,0.0023134103132625783
beta_dB_A20,0.0022986684781337976
alpha_dB_B25,0.002283215547736771
alpha_dB_B14,0.002278342343638572
beta_dB_A11,0.002274383824245343
alpha_dB_A13,0.002272326136996447
theta_dB_B23,0.0022705720521082494
beta_dB_B26,0.0022686761947829526
beta_dB_B23,0.002268264976677991
gamma_dB_A32,0.0022673043263147347
gamma_dB_B7,0.0022586591391706382
theta_dB_A2,0.002250724240551305
theta_dB_A13,0.0022491241955788993
alpha_dB_A1,0.0022463867971824984
alpha_dB_B7,0.00224181368903917
beta_dB_B11,0.0022289718506789654
theta_dB_A18,0.0022247378345771566
alpha_dB_B20,0.002222580294908674
theta_dB_A29,0.002220833827094376
alpha_dB_A14,0.0022142310204113997
theta_dB_A4,0.002207330345141932
theta_dB_A20,0.0022019117586209165
alpha_dB_A12,0.002201596250581051
gamma_dB_B25,0.0021961974808766722
alpha_dB_B4,0.0021709005793990473
beta_dB_B17,0.002107754849911098
alpha_dB_B1,0.002103912720850356
alpha_dB_B13,0.0020892717156016575
gamma_dB_B26,0.0020477481716231656
theta_dB_A1,0.0020465049530330485
beta_dB_A7,0.0020142076552222797
beta_dB_A5,0.002001354276804265
alpha_dB_B15,0.00197234921725495
alpha_dB_B19,0.0019490646810117781
alpha_dB_B5,0.0019115423294499836
alpha_dB_B17,0.0019089160944033665
theta_dB_B13,0.001906186514604282
beta_dB_A28,0.0018740802501148047
beta_dB_A6,0.0018715690248845573
theta_dB_A22,0.001839869427644189
alpha_dB_A32,0.0018376991439480023
beta_dB_A8,0.0017668353041758443
alpha_dB_A17,0.0017577289813771203
alpha_dB_B27,0.0017322592455468354
